obs_id,location,cohort,age,dose,weight
1,60,2016,5,2,1
2,60,2017,5,2,1
3,60,2018,5,2,1
4,60,2019,5,2,1
5,60,2020,5,2,1
6,60,2021,5,2,1
7,60,2022,5,2,1
8,61,2015,5,2,1
9,61,2016,5,2,1
10,61,2017,5,2,1
11,61,2018,5,2,1
12,61,2019,5,2,1
13,61,2020,5,2,1
14,61,2021,5,2,1
15,61,2022,5,2,1
16,62,2013,5,2,1
17,62,2014,5,2,1
18,62,2015,5,2,1
19,62,2016,5,2,1
20,62,2017,5,2,1
21,62,2018,5,2,1
22,62,2019,5,2,1
23,62,2020,5,2,1
24,62,2021,5,2,1
25,62,2022,5,2,1
26,63,2013,5,2,1
27,63,2014,5,2,1
28,63,2015,5,2,1
29,63,2016,5,2,1
30,64,2016,5,2,1
31,65,2013,5,2,1
32,66,2013,5,2,1
33,66,2014,5,2,1
34,66,2015,5,2,1
35,66,2016,5,2,1
36,66,2017,5,2,1
37,66,2018,5,2,1
38,66,2019,5,2,1
39,66,2020,5,2,1
40,66,2021,5,2,1
41,66,2022,5,2,1
42,67,2013,5,2,1
43,67,2014,5,2,1
44,67,2015,5,2,1
45,67,2016,5,2,1
46,67,2017,5,2,1
47,67,2018,5,2,1
48,67,2019,5,2,1
49,67,2020,5,2,1
50,67,2021,5,2,1
51,68,2013,5,2,1
52,68,2014,5,2,1
53,68,2015,5,2,1
54,68,2016,5,2,1
55,68,2017,5,2,1
56,68,2018,5,2,1
57,68,2019,5,2,1
58,68,2020,5,2,1
59,68,2021,5,2,1
60,68,2022,5,2,1
61,69,2014,5,2,1
62,69,2015,5,2,1
63,69,2016,5,2,1
64,69,2017,5,2,1
65,69,2018,5,2,1
66,69,2019,5,2,1
67,69,2020,5,2,1
68,69,2021,5,2,1
69,69,2022,5,2,1
70,70,2013,5,2,1
71,70,2014,5,2,1
72,70,2015,5,2,1
73,70,2016,5,2,1
74,70,2017,5,2,1
75,70,2018,5,2,1
76,70,2019,5,2,1
77,70,2020,5,2,1
78,70,2021,5,2,1
79,70,2022,5,2,1
80,71,2013,5,2,1
81,71,2014,5,2,1
82,71,2015,5,2,1
83,71,2016,5,2,1
84,71,2017,5,2,1
85,71,2018,5,2,1
86,71,2019,5,2,1
87,71,2020,5,2,1
88,71,2021,5,2,1
89,71,2022,5,2,1
90,72,2014,5,2,1
91,72,2015,5,2,1
92,72,2016,5,2,1
93,72,2018,5,2,1
94,72,2019,5,2,1
95,72,2020,5,2,1
96,72,2021,5,2,1
97,73,2017,5,2,1
98,74,2013,5,2,1
99,74,2014,5,2,1
100,74,2015,5,2,1
101,74,2016,5,2,1
102,74,2018,5,2,1
103,74,2020,5,2,1
104,74,2021,5,2,1
105,75,2013,5,2,1
106,75,2014,5,2,1
107,75,2017,5,2,1
108,75,2018,5,2,1
109,75,2019,5,2,1
110,75,2020,5,2,1
111,75,2021,5,2,1
112,75,2022,5,2,1
113,76,2013,5,2,1
114,76,2014,5,2,1
115,76,2015,5,2,1
116,76,2016,5,2,1
117,76,2017,5,2,1
118,76,2018,5,2,1
119,76,2019,5,2,1
120,76,2020,5,2,1
121,76,2021,5,2,1
122,76,2022,5,2,1
123,77,2014,5,2,1
124,77,2015,5,2,1
125,77,2016,5,2,1
126,77,2017,5,2,1
127,77,2018,5,2,1
128,77,2019,5,2,1
129,77,2020,5,2,1
130,77,2021,5,2,1
131,77,2022,5,2,1
132,78,2013,5,2,1
133,78,2014,5,2,1
134,78,2015,5,2,1
135,78,2016,5,2,1
136,78,2017,5,2,1
137,78,2018,5,2,1
138,78,2019,5,2,1
139,78,2020,5,2,1
140,78,2021,5,2,1
141,78,2022,5,2,1
142,79,2013,5,2,1
143,79,2014,5,2,1
144,79,2015,5,2,1
145,79,2016,5,2,1
146,79,2017,5,2,1
147,79,2018,5,2,1
148,79,2019,5,2,1
149,79,2020,5,2,1
150,79,2021,5,2,1
151,79,2022,5,2,1
152,80,2013,5,2,1
153,80,2013,5,2,1
154,80,2014,5,2,1
155,80,2015,5,2,1
156,80,2016,5,2,1
157,80,2017,5,2,1
158,80,2018,5,2,1
159,80,2019,5,2,1
160,80,2020,5,2,1
161,80,2021,5,2,1
162,80,2022,5,2,1
163,81,2013,5,2,1
164,81,2014,5,2,1
165,81,2015,5,2,1
166,81,2016,5,2,1
167,81,2017,5,2,1
168,81,2018,5,2,1
169,81,2019,5,2,1
170,81,2020,5,2,1
171,82,2013,5,2,1
172,82,2014,5,2,1
173,82,2015,5,2,1
174,82,2016,5,2,1
175,82,2017,5,2,1
176,82,2018,5,2,1
177,82,2019,5,2,1
178,82,2020,5,2,1
179,82,2021,5,2,1
180,82,2022,5,2,1
181,83,2014,5,2,1
182,83,2015,5,2,1
183,83,2016,5,2,1
184,83,2017,5,2,1
185,83,2018,5,2,1
186,83,2019,5,2,1
187,83,2020,5,2,1
188,83,2021,5,2,1
189,83,2022,5,2,1
190,84,2013,5,2,1
191,84,2015,5,2,1
192,84,2020,5,2,1
193,84,2021,5,2,1
194,84,2022,5,2,1
195,85,2013,5,2,1
196,85,2014,5,2,1
197,85,2015,5,2,1
198,85,2016,5,2,1
199,85,2017,5,2,1
200,85,2018,5,2,1
201,85,2019,5,2,1
202,85,2020,5,2,1
203,85,2021,5,2,1
204,85,2022,5,2,1
205,86,2013,5,2,1
206,86,2014,5,2,1
207,86,2015,5,2,1
208,86,2016,5,2,1
209,87,2016,5,2,1
210,87,2017,5,2,1
211,87,2018,5,2,1
212,87,2019,5,2,1
213,87,2020,5,2,1
214,87,2021,5,2,1
215,87,2022,5,2,1
216,88,2013,5,2,1
217,88,2014,5,2,1
218,88,2015,5,2,1
219,88,2016,5,2,1
220,88,2017,5,2,1
221,88,2018,5,2,1
222,88,2019,5,2,1
223,88,2020,5,2,1
224,88,2021,5,2,1
225,88,2022,5,2,1
226,89,2013,5,2,1
227,89,2014,5,2,1
228,89,2015,5,2,1
229,89,2016,5,2,1
230,89,2017,5,2,1
231,89,2018,5,2,1
232,89,2019,5,2,1
233,89,2020,5,2,1
234,89,2021,5,2,1
235,89,2022,5,2,1
236,90,2013,5,2,1
237,90,2014,5,2,1
238,90,2015,5,2,1
239,90,2016,5,2,1
240,90,2017,5,2,1
241,90,2018,5,2,1
242,90,2019,5,2,1
243,90,2020,5,2,1
244,90,2021,5,2,1
245,90,2022,5,2,1
246,91,2013,5,2,1
247,92,2013,5,2,1
248,92,2014,5,2,1
249,92,2015,5,2,1
250,92,2016,5,2,1
251,92,2017,5,2,1
252,92,2018,5,2,1
253,92,2019,5,2,1
254,92,2020,5,2,1
255,92,2021,5,2,1
256,92,2022,5,2,1
257,93,2013,5,2,1
258,93,2014,5,2,1
